Opt_Energy,T2
-1.5650095929311103,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)))"
-1.567682414936983,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)))"
-1.5700140833494034,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)))"
-1.5116428258803367,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (2, 6)))"
-1.5757233467667784,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (3, 6)))"
-1.5757233467667784,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)))"
-1.5209200385115835,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((4, 5), (6, 7)))"
-1.5660483673112506,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.5409599185304406,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.5754930781015108,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.52682935840717,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.5754930781015108,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.51255621465162,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.5372421385352801,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.5594732424676145,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.5318535269264921,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.5157408333314382,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.5470815804028235,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.5596019539594068,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.5394902816479008,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.3904409262121882,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.49159777397887,"(((0, 4), (2, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.569591118901219,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.5752783540278426,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.5534470444457522,"(((0, 4), (2, 6)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.5755801975511599,"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.5343168810341536,"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5731343135004723,"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.5597874828281566,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((0, 5), (3, 6)))"
-1.4366581381202685,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))"
-1.5058369932994422,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))"
-1.5326774884974648,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (3, 6)))"
-1.5675431997831835,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (3, 7)))"
-1.5339313220709845,"(((0, 5), (2, 7)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))"
-1.575421503534681,"(((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.5260409944225075,"(((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.575421503534681,"(((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.5276016136982529,"(((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.5339313220709845,"(((0, 5), (2, 7)), ((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.528372644241366,"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.5753499287349921,"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.5094183341077287,"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.555199402153912,"(((0, 5), (2, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.472393725379685,"(((0, 5), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.5276016136982529,"(((0, 5), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.5053245653860032,"(((0, 5), (2, 7)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.5755801975511599,"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.5731343135004723,"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5248453387375736,"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.5757233467667784,"(((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)))"
-1.5757233467667784,"(((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)))"
-1.518099031516178,"(((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (3, 6)))"
-1.528372644241366,"(((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (3, 7)))"
-1.5490570214891433,"(((0, 4), (3, 7)), ((0, 5), (3, 6)), ((4, 5), (6, 7)))"
-1.5755801975511599,"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.531428140209842,"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.5600739840802378,"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.5124295896311053,"(((0, 4), (3, 7)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.5276936762735627,"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.5752783540278426,"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.5564949743576042,"(((0, 4), (3, 7)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.528372644241366,"(((0, 4), (3, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.514536541388627,"(((0, 4), (3, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5619454222810538,"(((0, 4), (3, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.5755801975511599,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)))"
-1.5753499287349921,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)))"
-1.5203037890983992,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (3, 7)))"
-1.5761838827716534,"(((0, 5), (3, 6)), ((1, 4), (2, 7)), ((4, 5), (6, 7)))"
-1.5739682824753713,"(((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.5276016136982529,"(((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.5138456848110105,"(((0, 5), (3, 6)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.5566632717752262,"(((0, 5), (3, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.553567951144284,"(((0, 5), (3, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5053245653860032,"(((0, 5), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.5652440630130067,"(((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)))"
-1.5602204500403665,"(((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)))"
-1.386707299949086,"(((1, 4), (2, 7)), ((1, 5), (2, 6)), ((4, 5), (6, 7)))"
-1.5429452824762722,"(((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.5171341838722827,"(((1, 4), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5309953503003007,"(((1, 4), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.5594295545525059,"(((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.49946752330285,"(((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.5611426840286686,"(((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.510224807378854,"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
